EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
,,0.149269543,0.281220876
,,0.493533016,0.526004196
,,1.005935075,1.033454778
,,1.095049028,1.156505708
,,0.874005798,0.883535865
,,1.125835452,1.108496223
,,1.167943181,1.176257314
,,1.254464597,1.236898392
,,0.445055394,0.346253304
,,0.312943818,0.197084309
,,0.065294965,0.067898051
,,0.249433556,0.083837547
,,0.036114438,0.091168182
,,0.348795528,0.232326621
,,0.568965025,0.676172324
,,0.363596384,0.275336687
,,0.623038957,0.513417909
,,0.784255907,0.699615404
,,0.95961217,0.853844443
,,1.00588506,0.922878678
,,1.066804335,0.963485167
,,0.954572942,0.835680749
,,0.942972942,0.824080749
,,1.277071706,1.194850674
,,1.23646741,1.133724261
,,0.466793112,0.428144507
,,0.718793112,0.680144507
,,1.005993112,0.967344507
,,1.172493112,1.133844507
,,1.172493112,1.133844507
,,1.186693112,1.148044507
,,1.191293112,1.152644507
,,1.044993112,1.006344507
,,0.568019695,0.880006142
,,0.524294138,0.780063868
,,0.578798413,0.817433476
,,0.491489758,0.819023003
,,0.479331282,0.764526156
,,0.596817427,0.865720682
,,0.942263311,1.173550314
,,0.943376116,1.158259443
,,0.950943324,1.197866771
,,0.576376769,0.810329768
,,0.500265598,0.695455551
,,0.589990415,0.813141145
,,0.375468299,0.219175384
,,0.643856022,0.507790539
,,0.579811136,0.450993578
,,0.572022206,0.415876156
,,0.913263407,0.765427199
,,0.849762268,0.721128292
,,0.503805909,0.359764371
,,1.184973167,1.046074795
,,1.464264161,1.335035093
,,0.660512022,0.503032259
,,0.641811797,0.51584191
,,0.709604897,0.565288224
,,0.621143752,0.548171455
,,0.781547914,0.564161191
,,0.732424886,0.511386067
,,0.766915424,0.701171024
,,0.790343662,0.600809951
,,0.876366994,0.655008694
,,0.633942638,0.594395195
,,0.737232471,0.579036499
,,0.79628563,0.648099423
,,0.680460869,0.548369823
,,0.757201049,0.571665618
,,0.723478455,0.536653179
,,0.408734076,0.518157713
,,0.838886311,0.888360074
,,0.845921911,0.891355432
,,0.55582045,0.613923535
,,0.603439423,0.624292942
,,0.874070015,0.891508903
,,0.497636222,0.588987731
,,0.824266446,0.900468839
,,1.012208598,1.092415946
,,0.723995539,0.784029815
,,0.754486598,0.811624087
,,0.639896724,0.714063021
,,0.048687242,0.284092687
,,0.882933944,0.595138877
,,0.901624974,0.666219529
,,0.583809372,0.866914268
,,0.415465656,0.580844226
,,0.344525627,0.596400551
,,0.308125627,0.560000551
,,1.175402642,0.716363908
,,0.414876955,0.145739096
,,0.756542939,0.537994164
,,0.345342939,0.126794164
,,0.843156617,0.59952287
,,0.730178381,0.472588087
,,0.486839383,0.210787862
,,0.696063211,0.386079481
,,0.659263211,0.349279481
,,0.783746632,0.494902523
,,0.72792104,0.456406624
,,0.769096285,0.472959429
,,0.711854233,0.378038658
,,0.85939751,0.562633613
,,0.819017548,0.50338282
,,0.275677554,0.035657533
,,0.455683955,0.617145786
,,0.223415888,0.357481993
,,0.06242208,0.086353497
,,0.557912573,0.331601366
,,0.716839498,0.67430467
