SMILES,predicted_value,value
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,-5.680771828,-5.8794
,-5.510458469,-5.6289
,-5.432221413,-5.3872
,-5.460628033,-5.1186
,-5.423262119,-5.1367
,-5.435698986,-5.056
,-5.205085278,-4.983
,-5.18081522,-4.4271
NC1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,-5.492938042,-5.6003
,-5.49347353,-5.5607
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-5.540962219,-5.6253
NCC(=O)CCC(=O)O,-5.498402119,-5.9547
,-5.127865791,-5.7878
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,-5.46118927,-5.0164
,-4.945633888,-5.6402
Cn1cc[nH]c1=S,-5.424933434,-6.1096
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,-4.940423965,-4.6716
,-4.930053234,-4.7545
,-4.869289398,-4.8508
FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,-4.868931293,-5.0362
,-4.865736485,-5.2815
,-4.931957722,-4.9914
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,-4.930972099,-5.1878
NC12CC3CC(CC(C3)C1)C2,-4.872335434,-5.0655
,-4.872335434,-5.3904
,-4.86995554,-4.9393
,-4.86995554,-5.5969
,-4.708390713,-5.0655
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-5.005894184,-5.2495
,-4.86995554,-5.0429
,-4.86995554,-5.5421
,-4.86995554,-5.2175
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,-4.86995554,-5.2411
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-4.86995554,-4.7055
NC(=O)N1c2ccccc2C=Cc2ccccc21,-5.021258354,-4.8153
C[C@H](N)C(=O)O,-4.920545578,-5.1811
